Day,lotType,lotSpaces,lotVacancy,lotOccupied,percentCapacity
65,lot2_premium,324,301,23.0,0.07098765432098765
65,lot3,1192,1192,0.0,0.0
65,lot4_general,1430,852,578.0,0.4041958041958042
65,lot4_premium,352,205,147.0,0.41761363636363635
65,lot5,2200,2200,0.0,0.0
65,lot6,-1,-1,-1.0,-1.0
66,lot2_general,1219,1024,195.0,0.15996718621821165
66,lot2_premium,324,298,26.0,0.08024691358024691
66,lot3,1192,951,241.0,0.20218120805369127
66,lot4_general,1430,847,583.0,0.4076923076923077
66,lot4_premium,352,201,151.0,0.4289772727272727
66,lot5,2200,2200,0.0,0.0
66,lot6,-1,-1,-1.0,-1.0
67,lot2_general,1219,947,272.0,0.22313371616078753
67,lot2_premium,324,298,26.0,0.08024691358024691
67,lot3,1192,904,288.0,0.24161073825503357
67,lot4_general,1430,641,789.0,0.5517482517482517
67,lot4_premium,352,152,200.0,0.5681818181818182
67,lot5,2200,2200,0.0,0.0
67,lot6,-1,-1,-1.0,-1.0
68,lot2_general,1219,993,226.0,0.18539786710418377
68,lot2_premium,324,294,30.0,0.09259259259259259
68,lot3,1192,870,322.0,0.2701342281879195
68,lot4_general,1430,759,671.0,0.46923076923076923
68,lot4_premium,352,187,165.0,0.46875
68,lot5,2200,2200,0.0,0.0
68,lot6,-1,-1,-1.0,-1.0
69,lot2_general,1219,988,231.0,0.18949958982772763
69,lot2_premium,324,289,35.0,0.10802469135802469
69,lot3,1192,961,231.0,0.19379194630872484
69,lot4_general,1430,786,644.0,0.45034965034965035
69,lot4_premium,352,202,150.0,0.42613636363636365
69,lot5,2200,2200,0.0,0.0
69,lot6,-1,-1,-1.0,-1.0
70,lot2_general,1219,1018,201.0,0.16488925348646433
70,lot2_premium,324,294,30.0,0.09259259259259259
70,lot3,1192,952,240.0,0.20134228187919462
70,lot4_general,1430,913,517.0,0.36153846153846153
70,lot4_premium,352,233,119.0,0.3380681818181818
70,lot5,2200,2200,0.0,0.0
70,lot6,-1,-1,-1.0,-1.0
71,lot2_general,1219,1023,196.0,0.16078753076292043
71,lot2_premium,324,289,35.0,0.10802469135802469
71,lot3,1192,973,219.0,0.1837248322147651
71,lot4_general,1430,934,496.0,0.34685314685314683
71,lot4_premium,352,205,147.0,0.41761363636363635
71,lot5,2200,2200,0.0,0.0
71,lot6,-1,-1,-1.0,-1.0
72,lot2_general,1219,1018,201.0,0.16488925348646433
72,lot2_premium,324,297,27.0,0.08333333333333333
72,lot3,1192,970,222.0,0.18624161073825504
72,lot4_general,1430,865,565.0,0.3951048951048951
72,lot4_premium,352,193,159.0,0.45170454545454547
72,lot5,2200,2200,0.0,0.0
72,lot6,-1,-1,-1.0,-1.0
73,lot2_general,1219,1010,209.0,0.17145200984413453
73,lot2_premium,324,299,25.0,0.07716049382716049
73,lot3,1192,971,221.0,0.18540268456375839
73,lot4_general,1430,870,560.0,0.3916083916083916
73,lot4_premium,352,204,148.0,0.42045454545454547
73,lot5,2200,2200,0.0,0.0
73,lot6,-1,-1,-1.0,-1.0
74,lot2_general,1219,988,231.0,0.18949958982772763
74,lot2_premium,324,297,27.0,0.08333333333333333
74,lot3,1192,923,269.0,0.2256711409395973
74,lot4_general,1430,852,578.0,0.4041958041958042
74,lot4_premium,352,190,162.0,0.4602272727272727
74,lot5,2200,2200,0.0,0.0
74,lot6,-1,-1,-1.0,-1.0
75,lot2_general,1219,983,236.0,0.19360131255127153
