Date,Day,Lot,% Capacity,Occupied,Spaces
2021-06-22,Tuesday,LOT 5 Value,0.0,0.0,0
2021-06-22,Tuesday,LOT 6,-100.0,-1.0,-1
2021-06-23,Wednesday,LOT 2 General,57.1780147662018,697.0,1219
2021-06-23,Wednesday,LOT 2 Premium,24.69135802469135,80.0,324
2021-06-23,Wednesday,LOT 2 Value,0.0,0.0,0
2021-06-23,Wednesday,LOT 3,57.130872483221474,681.0,1192
2021-06-23,Wednesday,LOT 4 General,51.608391608391614,738.0,1430
2021-06-23,Wednesday,LOT 4 Premium,77.55681818181817,273.0,352
2021-06-23,Wednesday,LOT 5,40.454545454545446,890.0,2200
2021-06-23,Wednesday,LOT 5 Value,0.0,0.0,0
2021-06-23,Wednesday,LOT 6,-100.0,-1.0,-1
2021-06-24,Thursday,LOT 2 General,62.3461853978671,760.0,1219
2021-06-24,Thursday,LOT 2 Premium,27.160493827160494,88.0,324
2021-06-24,Thursday,LOT 2 Value,0.0,0.0,0
2021-06-24,Thursday,LOT 3,60.486577181208055,721.0,1192
2021-06-24,Thursday,LOT 4 General,52.72727272727272,754.0,1430
2021-06-24,Thursday,LOT 4 Premium,76.13636363636364,268.0,352
2021-06-24,Thursday,LOT 5,42.772727272727266,941.0,2200
2021-06-24,Thursday,LOT 5 Value,0.0,0.0,0
2021-06-24,Thursday,LOT 6,-100.0,-1.0,-1
2021-06-25,Friday,LOT 2 General,0.0,0.0,1219
2021-06-25,Friday,LOT 2 Premium,0.0,0.0,324
2021-06-25,Friday,LOT 2 Value,0.0,0.0,0
2021-06-25,Friday,LOT 3,0.0,0.0,1192
2021-06-25,Friday,LOT 4 General,0.0,0.0,1430
2021-06-25,Friday,LOT 4 Premium,0.0,0.0,352
2021-06-25,Friday,LOT 5,0.0,0.0,2200
2021-06-25,Friday,LOT 5 Value,0.0,0.0,0
2021-06-25,Friday,LOT 6,-100.0,-1.0,-1
2021-06-26,Saturday,LOT 2 General,52.83018867924528,644.0,1219
2021-06-26,Saturday,LOT 2 Premium,25.30864197530864,82.0,324
2021-06-26,Saturday,LOT 2 Value,0.0,0.0,0
2021-06-26,Saturday,LOT 3,44.04362416107382,525.0,1192
2021-06-26,Saturday,LOT 4 General,59.510489510489506,851.0,1430
2021-06-26,Saturday,LOT 4 Premium,75.56818181818183,266.0,352
2021-06-26,Saturday,LOT 5,33.454545454545446,736.0,2200
2021-06-26,Saturday,LOT 5 Value,0.0,0.0,0
2021-06-26,Saturday,LOT 6,-100.0,-1.0,-1
2021-06-27,Sunday,LOT 2 General,48.72846595570139,594.0,1219
2021-06-27,Sunday,LOT 2 Premium,43.82716049382716,142.0,324
2021-06-27,Sunday,LOT 2 Value,0.0,0.0,0
2021-06-27,Sunday,LOT 3,68.45637583892618,816.0,1192
2021-06-27,Sunday,LOT 4 General,42.16783216783217,603.0,1430
2021-06-27,Sunday,LOT 4 Premium,68.4659090909091,241.0,352
2021-06-27,Sunday,LOT 5,44.22727272727272,973.0,2200
2021-06-27,Sunday,LOT 5 Value,0.0,0.0,0
2021-06-27,Sunday,LOT 6,-100.0,-1.0,-1
2021-06-28,Monday,LOT 2 General,36.751435602953244,448.0,1219
2021-06-28,Monday,LOT 2 Premium,57.407407407407405,186.0,324
2021-06-28,Monday,LOT 2 Value,0.0,0.0,0
2021-06-28,Monday,LOT 3,50.50335570469798,602.0,1192
2021-06-28,Monday,LOT 4 General,43.42657342657343,621.0,1430
2021-06-28,Monday,LOT 4 Premium,84.375,297.0,352
2021-06-28,Monday,LOT 5,32.954545454545446,725.0,2200
2021-06-28,Monday,LOT 5 Value,0.0,0.0,0
2021-06-28,Monday,LOT 6,-100.0,-1.0,-1
2021-06-29,Tuesday,LOT 2 General,46.8416735028712,571.0,1219
2021-06-29,Tuesday,LOT 2 Premium,23.76543209876543,77.0,324
2021-06-29,Tuesday,LOT 2 Value,0.0,0.0,0
2021-06-29,Tuesday,LOT 3,61.241610738255034,730.0,1192
2021-06-29,Tuesday,LOT 4 General,49.65034965034965,710.0,1430
2021-06-29,Tuesday,LOT 4 Premium,79.82954545454545,281.0,352
2021-06-29,Tuesday,LOT 5,42.95454545454545,945.0,2200
2021-06-29,Tuesday,LOT 5 Value,0.0,0.0,0
2021-06-29,Tuesday,LOT 6,-100.0,-1.0,-1
2021-06-30,Wednesday,LOT 2 General,53.240360951599676,649.0,1219
2021-06-30,Wednesday,LOT 2 Premium,25.92592592592592,84.0,324
2021-06-30,Wednesday,LOT 2 Value,0.0,0.0,0
2021-06-30,Wednesday,LOT 3,70.21812080536914,837.0,1192
2021-06-30,Wednesday,LOT 4 General,66.57342657342657,952.0,1430
2021-06-30,Wednesday,LOT 4 Premium,71.30681818181817,251.0,352
