Year,Month,Airline,Passengers
2023,January,Hawaiian Airlines,9972
2023,January,JetBlue,8363
2023,January,Southwest Airlines,170442
2023,January,United Airlines,29721
2023,January,Volaris,11457
2023,January,All Others,322
2023,February,aha!,0
2023,February,Alaska Airlines,26407
2023,February,American Airlines,69980
2023,February,Avianca,3683
2023,February,China Airlines,8149
2023,February,Delta Air Lines,48517
2023,February,Frontier Airlines,38651
2023,February,Hawaiian Airlines,9056
2023,February,JetBlue,5667
2023,February,Southwest Airlines,166235
2023,February,United Airlines,26342
2023,February,Volaris,9844
2023,February,All Others,393
2023,March,aha!,0
2023,March,Alaska Airlines,34795
2023,March,American Airlines,81529
2023,March,Avianca,4303
2023,March,China Airlines,10061
2023,March,Delta Air Lines,63043
2023,March,Frontier Airlines,50215
2023,March,Hawaiian Airlines,10402
2023,March,JetBlue,8172
2023,March,Southwest Airlines,199154
2023,March,United Airlines,29121
2023,March,Volaris,10377
2023,March,All Others,78
2023,April,aha!,0
2023,April,Alaska Airlines,41571
2023,April,American Airlines,84023
2023,April,Avianca,3898
2023,April,China Airlines,18210
2023,April,Delta Air Lines,65797
2023,April,Frontier Airlines,55809
2023,April,Hawaiian Airlines,10493
2023,April,JetBlue,9139
2023,April,Southwest Airlines,195404
2023,April,United Airlines,31637
2023,April,Volaris,12327
2023,April,All Others,2425
2023,May,aha!,0
2023,May,Alaska Airlines,44626
2023,May,American Airlines,82751
2023,May,Avianca,3480
2023,May,China Airlines,17956
2023,May,Delta Air Lines,72282
2023,May,Frontier Airlines,59386
2023,May,Hawaiian Airlines,10143
2023,May,JetBlue,10959
2023,May,Southwest Airlines,212569
2023,May,United Airlines,29907
2023,May,Volaris,12874
2023,May,All Others,0
2023,June,aha!,0
2023,June,Alaska Airlines,47117
2023,June,American Airlines,92504
2023,June,Avianca,6336
2023,June,China Airlines,18209
2023,June,Delta Air Lines,66840
2023,June,Frontier Airlines,61429
2023,June,Hawaiian Airlines,10805
2023,June,JetBlue,10278
2023,June,Southwest Airlines,204578
2023,June,United Airlines,27995
2023,June,Volaris,12814
2023,June,All Others,542
2023,July,aha!,0
2023,July,Alaska Airlines,49891
2023,July,American Airlines,97480
2023,July,Avianca,7401
2023,July,China Airlines,17841
2023,July,Delta Air Lines,65485
2023,July,Frontier Airlines,69621
2023,July,Hawaiian Airlines,11429
2023,July,JetBlue,10342
2023,July,Northern Pacific,648
2023,July,Southwest Airlines,201963
2023,July,United Airlines,32023
2023,July,Volaris,14253
2023,July,Volaris El Salvador,4056
2023,July,All Others,142
2023,August,aha!,0
2023,August,Alaska Airlines,48293
2023,August,American Airlines,96163
2023,August,Avianca,6580
2023,August,China Airlines,17533
2023,August,Delta Air Lines,68342
2023,August,Frontier Airlines,59289
2023,August,Hawaiian Airlines,10965
2023,August,JetBlue,10238
2023,August,Northern Pacific,1669
2023,August,Southwest Airlines,198074
2023,August,United Airlines,34319
2023,August,Volaris,12756
2023,August,Volaris El Salvador,3287
2023,August,All Others,0
2023,September,aha!,0
2023,September,Alaska Airlines,43395
2023,September,American Airlines,88073
2023,September,Avianca,5132
2023,September,China Airlines,16369
2023,September,Delta Air Lines,59472
2023,September,Frontier Airlines,72862
2023,September,Hawaiian Airlines,10128
2023,September,JetBlue,8490
2023,September,Northern Pacific,1592
2023,September,Southwest Airlines,201085
2023,September,United Airlines,34586
2023,September,Volaris,12540
2023,September,Volaris El Salvador,2135
2023,September,All Others,354
2023,October,aha!,0
2023,October,Alaska Airlines,44478
2023,October,American Airlines,86845
2023,October,Avianca,4965
2023,October,China Airlines,16853
2023,October,Delta Air Lines,60097
2023,October,Frontier Airlines,88500
2023,October,Hawaiian Airlines,10401
2023,October,JetBlue,10081
2023,October,New Pacific,497
2023,October,Southwest Airlines,228397
2023,October,United Airlines,38909
2023,October,Volaris,13937
2023,October,Volaris El Salvador,2258
2023,October,All Others,279
2023,November,aha!,0
2023,November,Alaska Airlines,42507
2023,November,American Airlines,87007
2023,November,Avianca,5985
2023,November,China Airlines,16950
2023,November,Delta Air Lines,54940
2023,November,Frontier Airlines,73046
2023,November,Hawaiian Airlines,10132
2023,November,JetBlue,8960
2023,November,New Pacific,1990
2023,November,Southwest Airlines,222240
2023,November,United Airlines,34685
2023,November,Volaris,14465
2023,November,Volaris El Salvador,2970
2023,November,All Others,0
2023,December,aha!,0
2023,December,Alaska Airlines,39278
2023,December,American Airlines,82006
2023,December,Avianca,6148
2023,December,China Airlines,16535
2023,December,Delta Air Lines,59194
2023,December,Frontier Airlines,61735
2023,December,Hawaiian Airlines,10072
2023,December,JetBlue,9610
2023,December,New Pacific,2253
2023,December,Southwest Airlines,210871
2023,December,United Airlines,31836
2023,December,Volaris,17350
2023,December,Volaris El Salvador,3126
2023,December,All Others,1147
2024,January,Alaska Airlines,27339
2024,January,American Airlines,76982
2024,January,Avianca,6366
2024,January,China Airlines,18348
2024,January,Delta Air Lines,49851
